Quarter,Household debt to income,Household debt to assets,Household financial assets to income
2015Q1,169.589716363237,20.2158291284121,358.613482196243
2015Q2,171.855139681135,20.1513240050974,356.944171011061
2015Q3,172.430062669329,20.085446295355,355.190964248285
2015Q4,174.050279117649,20.002335160443,364.475123075665
2016Q1,175.538694202398,20.2384305099662,362.957001030323
2016Q2,178.396500994302,20.0241372215695,376.999207737568
2016Q3,180.169066045902,19.8325526128792,386.397731788866
2016Q4,181.128108118843,19.4480350086825,391.775897680331
2017Q1,182.241182891701,19.2822220080497,396.702480757558
2017Q2,184.510748430394,19.3249603977964,396.105990219051
2017Q3,185.574749908501,19.4763152632094,396.70943129189
2017Q4,186.492050884628,19.2521383569767,404.631115384368
2018Q1,187.218445148177,19.4939879618251,400.562472521521
2018Q2,187.740727194764,19.5712762270257,407.698698465147
2018Q3,186.856970971203,19.6333026831092,410.839568187787
2018Q4,187.350579247668,20.1924305570739,397.543625807318
2019Q1,187.053114858275,20.2389161421696,408.627183203909
2019Q2,186.839840690614,19.8232940966376,425.772000761216
2019Q3,185.376742650479,19.3426494620309,430.163347689722
2019Q4,185.997369221683,19.0671249539053,434.231436906062
2020Q1,186.149802132632,19.5774625421575,405.886304500456
2020Q2,183.835929340407,19.2679927670585,418.766977419804
2020Q3,180.829341476101,18.7848824543762,420.210165372507
2020Q4,180.096056816043,18.0754814780039,433.72185840996
2021Q1,179.578148614829,17.5654125971785,435.286824735863
2021Q2,182.257501441884,17.2185051812724,445.146975027467
2021Q3,183.648939773542,16.7243083821476,451.435210516284
2021Q4,184.859003782207,16.3071602757931,457.027300166633
2022Q1,185.005805296617,16.3763874909585,450.391041047646
2022Q2,184.993766418808,17.0527844068244,420.98006039764
2022Q3,184.249960465634,17.4502451757867,419.365255585641
2022Q4,183.797103526751,17.4511265919988,424.626492207633
2023Q1,183.247492274305,17.4438648855181,428.686019241732
2023Q2,183.000885489048,17.3284519376618,426.347603645263
2023Q3,182.456884554284,17.223670914528,427.662801905357
2023Q4,181.417275810998,16.9095589008449,433.941462424156
2024Q1,180.625538780158,16.7730588908619,439.912599676161
2024Q2,180.733480836157,16.7767318261182,436.219721588421
2024Q3,179.064715447154,16.6327786285977,444.201173559562
2024Q4,178.426699642912,16.4989340198255,445.665504161398
2025Q1,177.11623395554,16.580475440117,439.989973489689
2025Q2,177.155008550963,16.4576264467046,448.553778968594
2025Q3,176.093306921665,16.1359439410895,456.333259811242
2025Q4,,,
2026Q1,,,
2026Q2,,,
